reviewBody,reviewRating,runDate,dateCreated,date_clean,review_clean,review_parts_clean
"Our server Marco, was on point with covid guide lines and his service in general, despite only being there for 3 days 👍 on the other hand one of the other servers who was quite rude had no mask on (also no exemption badge or other forms of exemption) also he made the other staff members make mistakes with taking things off trays and not for going covid guide line rules. Also the weekly cleaning rota for both toilets were from last week and the men's had urine on all the toilet sets. You should have a serious look at this venue as it's unacceptable for the pandemic we are currently in.",3.0,2021-07-29,2 months ago,2021-05-30,staff marco point covid guide line service general despite days hand one staff quite rude no mask also no exemption badge form exemption also make staff members make mistake take things trays not go covid guide line rule also weekly clean rota toilets last week mens urine toilet set serious look venue unacceptable pandemic currently in,[]
"Counter reservations apparently don't give you a table, just access to the bar... What's the point of booking then? Had to wait another 30 minutes to get a real table... Once seated, food was terrible, cheap overcooked steak, tasteless lobster, terrible experience overall!",1.0,2021-07-29,a year ago,2020-07-29,counter reservations apparently dont give table access bar whats point book then wait another minutes get real table seat food terrible cheap overcook steak tasteless lobster terrible experience overall,[]
Good food. But there is a foul smell that find there every time. I have been there 3 times and it's there every time. Their burgers are amazing and so are their lobsters.,4.0,2021-07-29,a year ago,2020-07-29,good food foul smell find every time time every time burgers amazing lobsters,[]
British pub with amazing line of draft beers - the truffel chips were very good.,5.0,2021-07-29,a year ago,2020-07-29,british pub amazing line draft beers truffel chip good,[]
"Waited for 15m to get served at the bar, wasting a sizeable chunk of my lunch break. Staff constantly stayed at other end of the bar, addressing customers who just appeared. Got annoyed and left. Express lunch, only if you managed to get the staff to even acknowledge you!",1.0,2021-07-29,a year ago,2020-07-29,wait m get serve bar waste sizeable chunk lunch break staff constantly stay end bar address customers appear get annoy leave express lunch manage get staff even acknowledge you,[]
"Got food poisoning from this restaurant, very poorly handled, manager had terrible customer relations throughout and started ignoring me despite formal investigation. AVOID!!!",1.0,2021-07-29,a year ago,2020-07-29,get food poison restaurant poorly handle manager terrible customer relations throughout start ignore despite formal investigation avoid,[]
"Firstly, we had to queue for ages to be seated as there was only 1 member of staff checking reservations, taking temperatures and seating people. When my friend was downloading the track and trace app the attender tapped her phone which was an invasion on her personal space, and especially during this time. It also took quite a while to be served after being seated. The cocktails were extremely basic and watered down. Presentation was also poor, you could better looking cocktails and Whetherspoons. This is the 2nd time that I've been to Big Easy (last time I went to the one in Leicester Square) and both times my side of Mac & Cheese was forgotten. This time 3 different waiters came to ask if it had arrived and I just ended up cancelling it as I had already finished my starter and main. Overall the food was really good but that didn't save the overall experience.",3.0,2021-07-29,9 months ago,2020-11-01,firstly queue age seat member staff check reservations take temperatures seat people friend download track trace app attender tap phone invasion personal space especially time also take quite while serve seat cocktails extremely basic water down presentation also poor could better look cocktails whetherspoons nd time ive last time go one leicester square time side mac cheese forget time different staff come ask arrive end cancel already finish starter main overall food really good didnt save overall experience,[]
Fantastic service - Bruno! We love you!!! We had Lobster Brunch - coming back for more next week!,4.0,2021-07-29,a week ago,2021-07-22,fantastic service bruno love you lobster brunch come back next week,[]
"Very poor service made worst by inedible food. We waited 30mins for a table, but when we sat down found that a third of the place was empty...? Unless that many people left all at once? We sat at the front all that time and didn't see that many people leave. Why this was, was made clear later. Very friendly waiter took our very simple order, 3 meat platters 3 cokes. Unfortunately it took 3 reminders over the period of an hour to even get our drinks! I don't think I've ever waited that long for a soft drink. No apology made. Took a further 50mins to get our food. All the while the place was still only a third full. Each of us had ribs, half chicken, some pull pork, chili beans, chips and corn bread muffin. The chicken was well cooked, moist but very bland, there wasn't much in the way of any discernable seasoning. Pulled pork was dry and cold. Ribs are the worst ribs I've ever had, tough as old boots. I've got a decent set of canines but couldn't get through one, they were that tough. The corner bread muffin tasted like a regular muffin, very sweet but quite dense. The best thing on the table were the beans. You could really taste the chili and it wasn't too spicy. The place was obviously badly managed and couldn't handle even a third full service, waiters not paying attention to customers, food badly done and certainly not worth the £32 paid. Avoid!",1.0,2021-07-29,a year ago,2020-07-29,poor service make worst inedible food wait minutes table sit find third place empty unless many people leave once sit front time didnt see many people leave be make clear later friendly staff take simple order meat platters coke unfortunately take reminders period hour even get drink dont think ive ever wait long soft drink no apology make take minutes get food while place still third full us rib half chicken pull pork chili bean chip corn bread muffin chicken well cook moist bland wasnt much way discernable season pulled pork dry cold rib worst rib ive ever have tough old boot ive get decent set canines couldnt get one tough corner bread muffin taste like regular muffin sweet quite dense best thing table bean could really taste chili wasnt spicy place obviously badly manage couldnt handle even third full service staff not pay attention customers food badly do certainly not worth money pay avoid,[]
Says 11.30 on the door but would not serve food until 12,1.0,2021-07-29,a year ago,2020-07-29,say door wouldnt serve food ,[]
Experienced staff,5.0,2021-07-29,a year ago,2020-07-29,experience staff,[]
